County,Population
Alameda ,1646405
Alpine,1156
Amador,38382
Butte,226403
Calaveras,45175
Colusa,22050
Contra Costa,1139313
Del Norte,27060
El Dorado,186223
Fresno,995233
Glenn,28730
Humboldt,136430
Imperial,187921
Inyo,18598
Kern,896101
Kings,149559
Lake,64740
Lassen,30661
Los Angeles,10231271
Madera,156963
Marin,263262
Mariposa,18137
Mendocino,89092
Merced,275104
Modoc,9562
Mono,13759
Monterey,442149
Napa,141784
Nevada,98613
Orange,3198968
Placer,383173
Plumas,19818
Riverside,2382640
Sacramento,1513415
San Benito,56879
San Bernardino,2155590
San Diego,3309509
San Francisco,874008
San Joaquin,747263
San Luis Obispo,279210
San Mateo,770256
Santa Barbara,450025
Santa Clara,1937473
Santa Cruz,276504
Shasta,178148
Sierra,3203
Siskiyou,44655
Solano,436640
Sonoma,504613
Stanislaus,549976
Sutter,96919
Tehama,63949
Trinity,13634
Tulare,470716
Tuolumne,54725
Ventura,855910
Yolo,218673
Yuba,74645