"County","Sector","2006","2007","2008","2009","Total Usage"
"ALAMEDA","Non-Residential","    8008.850946","    9077.157293","    8630.437185","    8499.404239","   34215.849663"
"ALAMEDA","Residential","    3088.726574","    2976.189711","    3051.121567","    3035.494592","   12151.532444"
"ALAMEDA","Total","   11097.577520","   12053.347005","   11681.558753","   11534.898832","   46367.382110"
"ALPINE","Non-Residential","       9.377757","      10.687665","       9.385249","       5.184714","      34.635385"
"ALPINE","Residential","       9.514315","       9.367982","       8.971842","      13.036150","      40.890289"
"ALPINE","Total","      18.892072","      20.055648","      18.357091","      18.220864","      75.525675"
"AMADOR","Non-Residential","     164.983295","     180.740381","     189.047630","     182.836630","     717.607936"
"AMADOR","Residential","     140.930853","     142.585914","     146.606531","     143.426531","     573.549829"
"AMADOR","Total","     305.914148","     323.326295","     335.654162","     326.263162","    1291.157767"
"BUTTE","Non-Residential","     698.931040","     792.721467","     737.880820","     702.877838","    2932.411165"
"BUTTE","Residential","     701.568110","     715.871970","     737.054332","     734.745472","    2889.239884"
"BUTTE","Total","    1400.499150","    1508.593438","    1474.935153","    1437.623311","    5821.651052"
"CALAVERAS","Non-Residential","     115.496961","     128.300880","     129.203700","     125.589064","     498.590605"
"CALAVERAS","Residential","     192.937883","     199.921328","     204.281730","     202.746730","     799.887671"
"CALAVERAS","Total","     308.434845","     328.222208","     333.485431","     328.335794","    1298.478278"
"COLUSA","Non-Residential","     177.356740","     187.722561","     196.084573","     201.182573","     762.346447"
"COLUSA","Residential","      64.412343","      64.303048","      65.514438","      66.012438","     260.242267"
"COLUSA","Total","     241.769083","     252.025610","     261.599011","     267.195011","    1022.588715"
"CONTRA COSTA","Non-Residential","    5791.403581","    5967.673793","    6175.112307","    5858.141374","   23792.331055"
"CONTRA COSTA","Residential","    2719.449072","    2742.237652","    2838.916667","    2801.422255","   11102.025646"
"CONTRA COSTA","Total","    8510.852653","    8709.911445","    9014.028974","    8659.563629","   34894.356701"
"DEL NORTE","Non-Residential","     107.461215","     111.573999","     103.823178","     103.649681","     426.508073"
"DEL NORTE","Residential","     129.209036","     133.579669","     135.972715","     134.399372","     533.160792"
"DEL NORTE","Total","     236.670251","     245.153668","     239.795893","     238.049053","     959.668865"
"EL DORADO","Non-Residential","     517.705318","     513.106093","     514.887457","     490.815847","    2036.514715"
"EL DORADO","Residential","     753.015818","     761.639138","     783.034126","     771.251696","    3068.940778"
"EL DORADO","Total","    1270.721136","    1274.745232","    1297.921584","    1262.067544","    5105.455496"
"FRESNO","Non-Residential","    3999.766240","    4593.547192","    4603.385530","    4591.784160","   17788.483122"
"FRESNO","Residential","    2466.196759","    2525.281114","    2600.989064","    2630.340236","   10222.807173"
"FRESNO","Total","    6465.962999","    7118.828306","    7204.374595","    7222.124396","   28011.290296"
"GLENN","Non-Residential","     285.433511","     260.435601","     238.713124","     227.798124","    1012.380360"
"GLENN","Residential","      90.823952","      91.096275","      93.821241","      94.001241","     369.742709"
"GLENN","Total","     376.257463","     351.531877","     332.534365","     321.799365","    1382.123070"
"HUMBOLDT","Non-Residential","     639.245143","     628.210339","     707.726061","     666.569061","    2641.750604"
"HUMBOLDT","Residential","     377.120216","     417.724249","     449.107439","     465.285439","    1709.237343"
"HUMBOLDT","Total","    1016.365359","    1045.934589","    1156.833500","    1131.854500","    4350.987948"
"IMPERIAL","Non-Residential","     883.054496","     875.513754","     956.479171","     844.774440","    3559.821861"
"IMPERIAL","Residential","     511.254378","     497.021336","     486.354157","     566.752571","    2061.382442"
"IMPERIAL","Total","    1394.308874","    1372.535091","    1442.833329","    1411.527011","    5621.204305"
"INYO","Non-Residential","      57.767236","      56.799179","      71.490550","      69.742182","     255.799147"
"INYO","Residential","      33.479788","      85.221481","      98.598378","      98.548877","     315.848524"
"INYO","Total","      91.247025","     142.020661","     170.088929","     168.291060","     571.647675"
"KERN","Non-Residential","   14252.050090","   14896.052357","   12994.896308","   12126.996743","   54269.995498"
"KERN","Residential","    2041.770146","    2094.678859","    2180.172390","    2181.648981","    8498.270376"
"KERN","Total","   16293.820236","   16990.731217","   15175.068698","   14308.645724","   62768.265875"
"KINGS","Non-Residential","     993.605284","    1091.671765","    1166.075133","    1208.208941","    4459.561123"
"KINGS","Residential","     355.600315","     346.863803","     361.985803","     365.447065","    1429.896986"
"KINGS","Total","    1349.205599","    1438.535568","    1528.060936","    1573.656006","    5889.458109"
"LAKE","Non-Residential","     384.059930","     170.250994","     171.626884","     157.412884","     883.350692"
"LAKE","Residential","     266.329213","     275.513752","     290.186060","     291.027060","    1123.056085"
"LAKE","Total","     650.389143","     445.764746","     461.812944","     448.439944","    2006.406777"
"LASSEN","Non-Residential","     173.906259","     157.921805","     162.376460","     158.744391","     652.948915"
"LASSEN","Residential","     106.439743","     104.736464","     106.727343","     114.953362","     432.856912"
"LASSEN","Total","     280.346002","     262.658270","     269.103803","     273.697753","    1085.805828"
"LOS ANGELES","Non-Residential","   50195.387516","   50206.759992","   52147.065073","   51624.415680","  204173.628261"
"LOS ANGELES","Residential","   20466.644995","   20605.885650","   21636.772224","   21465.192028","   84174.494897"
"LOS ANGELES","Total","   70662.032511","   70812.645643","   73783.837297","   73089.607708","  288348.123159"
"MADERA","Non-Residential","     789.836266","     966.199473","    1013.217002","    1010.333330","    3779.586071"
"MADERA","Residential","     395.798117","     408.435668","     418.733554","     417.058549","    1640.025888"
"MADERA","Total","    1185.634383","    1374.635141","    1431.950556","    1427.391879","    5419.611959"
"MARIN","Non-Residential","     716.578526","     745.610409","     766.700943","     747.918943","    2976.808821"
"MARIN","Residential","     695.053906","     703.785237","     715.211911","     708.308911","    2822.359965"
"MARIN","Total","    1411.632431","    1449.395647","    1481.912854","    1456.227854","    5799.168786"
"MARIPOSA","Non-Residential","      38.358598","      55.336199","      58.430350","      47.039350","     199.164497"
"MARIPOSA","Residential","      69.245762","      72.528887","      74.464389","      73.247389","     289.486427"
"MARIPOSA","Total","     107.604359","     127.865087","     132.894739","     120.286739","     488.650924"
"MENDOCINO","Non-Residential","     343.921182","     282.668665","     278.032654","     261.546642","    1166.169143"
"MENDOCINO","Residential","     301.696443","     331.044430","     343.930275","     338.671744","    1315.342892"
"MENDOCINO","Total","     645.617624","     613.713095","     621.962930","     600.218387","    2481.512036"
"MERCED","Non-Residential","    2100.503208","    3017.705276","    2067.342719","    2064.143661","    9249.694864"
"MERCED","Residential","     654.628142","     658.873604","     679.347521","     681.351706","    2674.200973"
"MERCED","Total","    2755.131351","    3676.578880","    2746.690241","    2745.495367","   11923.895839"
"MODOC","Non-Residential","      99.994711","      76.520625","      89.553465","      94.510593","     360.579394"
"MODOC","Residential","      59.910914","      58.742783","      60.905648","      61.878100","     241.437445"
"MODOC","Total","     159.905625","     135.263409","     150.459114","     156.388693","     602.016841"
"MONO","Non-Residential","      90.812402","      87.262018","     107.217594","     108.410156","     393.702170"
"MONO","Residential","      84.379528","      97.754258","      92.501328","      90.864295","     365.499409"
"MONO","Total","     175.191930","     185.016276","     199.718923","     199.274452","     759.201581"
"MONTEREY","Non-Residential","    1785.842036","    1845.344816","    1894.556802","    1856.916802","    7382.660456"
"MONTEREY","Residential","     721.944702","     742.933475","     745.753749","     735.332749","    2945.964675"
"MONTEREY","Total","    2507.786738","    2588.278292","    2640.310552","    2592.249552","   10328.625134"
"NAPA","Non-Residential","     580.207806","     627.668663","     653.211775","     625.484775","    2486.573019"
"NAPA","Residential","     381.967484","     376.918320","     384.649618","     380.786618","    1524.322040"
"NAPA","Total","     962.175290","    1004.586983","    1037.861393","    1006.271393","    4010.895059"
"NEVADA","Non-Residential","     237.821848","     169.851440","     248.148457","     235.717333","     891.539078"
"NEVADA","Residential","     407.086204","     339.569767","     426.457927","     424.512576","    1597.626474"
"NEVADA","Total","     644.908052","     509.421208","     674.606384","     660.229909","    2489.165553"
"ORANGE","Non-Residential","   14265.729383","   14094.384688","   12283.437345","   11714.368997","   52357.920413"
"ORANGE","Residential","    6879.160415","    6853.775203","    6485.757312","    6268.610027","   26487.302957"
"ORANGE","Total","   21144.889797","   20948.159891","   18769.194657","   17982.979024","   78845.223369"
"PLACER","Non-Residential","    1505.637921","    1681.299102","    1665.471989","    1579.714906","    6432.123918"
"PLACER","Residential","    1324.761810","    1327.485999","    1374.736613","    1367.402445","    5394.386867"
"PLACER","Total","    2830.399731","    3008.785101","    3040.208602","    2947.117351","   11826.510785"
"PLUMAS","Non-Residential","     120.485903","     113.484230","     115.255488","     113.463350","     462.688971"
"PLUMAS","Residential","     103.493426","     104.808112","     104.584273","     103.598116","     416.483927"
"PLUMAS","Total","     223.979329","     218.292342","     219.839762","     217.061467","     879.172900"
"RIVERSIDE","Non-Residential","    7987.066418","    7965.668773","    8577.098212","    7713.705891","   32243.539294"
"RIVERSIDE","Residential","    6852.509543","    6652.533000","    6868.140361","    6673.719184","   27046.902088"
"RIVERSIDE","Total","   14839.575961","   14618.201773","   15445.238574","   14387.425075","   59290.441383"
"SACRAMENTO","Non-Residential","    6148.664060","    6473.079484","    6502.997713","    6184.032161","   25308.773418"
"SACRAMENTO","Residential","    4762.290022","    4653.761041","    4720.165461","    4696.914835","   18833.131359"
"SACRAMENTO","Total","   10910.954082","   11126.840526","   11223.163175","   10880.946997","   44141.904780"
"SAN BENITO","Non-Residential","     199.101673","     204.297078","     199.472469","     197.521469","     800.392689"
"SAN BENITO","Residential","     117.331583","     119.300826","     119.665263","     117.980263","     474.277935"
"SAN BENITO","Total","     316.433256","     323.597905","     319.137732","     315.501732","    1274.670625"
"SAN BERNARDINO","Non-Residential","    9597.806756","    9914.461555","    9912.987660","    9080.684462","   38505.940433"
"SAN BERNARDINO","Residential","    4996.586822","    4751.835799","    4912.039239","    4791.002532","   19451.464392"
"SAN BERNARDINO","Total","   14594.393579","   14666.297355","   14825.026899","   13871.686994","   57957.404827"
"SAN DIEGO","Non-Residential","   12743.801300","   12845.122611","   13025.480251","   12651.279525","   51265.683687"
"SAN DIEGO","Residential","    6691.204131","    6723.716626","    6882.408756","    6775.499439","   27072.828952"
"SAN DIEGO","Total","   19435.005431","   19568.839238","   19907.889007","   19426.778965","   78338.512641"
"SAN FRANCISCO","Non-Residential","    4037.285456","    4204.192350","    4200.342846","    4060.349846","   16502.170498"
"SAN FRANCISCO","Residential","    1477.515224","    1450.690460","    1494.072780","    1490.053780","    5912.332244"
"SAN FRANCISCO","Total","    5514.800681","    5654.882811","    5694.415626","    5550.403626","   22414.502744"
"SAN JOAQUIN","Non-Residential","    3815.424919","    4148.112981","    3855.613335","    3731.461101","   15550.612336"
"SAN JOAQUIN","Residential","    1694.343183","    1693.239101","    1735.551857","    1732.373815","    6855.507956"
"SAN JOAQUIN","Total","    5509.768102","    5841.352083","    5591.165192","    5463.834916","   22406.120293"
"SAN LUIS OBISPO","Non-Residential","     905.041080","    1090.589111","    1064.448462","    1021.096462","    4081.175115"
"SAN LUIS OBISPO","Residential","     674.498720","     671.648956","     684.643454","     669.587454","    2700.378584"
"SAN LUIS OBISPO","Total","    1579.539800","    1762.238067","    1749.091917","    1690.683917","    6781.553701"
"SAN MATEO","Non-Residential","    3186.382099","    3281.808232","    3473.734474","    3340.738474","   13282.663279"
"SAN MATEO","Residential","    1581.017229","    1594.526085","    1641.803636","    1620.457636","    6437.804586"
"SAN MATEO","Total","    4767.399328","    4876.334318","    5115.538110","    4961.196110","   19720.467866"
"SANTA BARBARA","Non-Residential","    2407.021065","    2360.962288","    2453.624208","    2425.682677","    9647.290238"
"SANTA BARBARA","Residential","     770.620059","     813.523488","     820.655105","     809.523279","    3214.321931"
"SANTA BARBARA","Total","    3177.641124","    3174.485777","    3274.279313","    3235.205957","   12861.612171"
"SANTA CLARA","Non-Residential","   11954.816946","   12791.124443","   13069.432005","   12572.684876","   50388.058270"
"SANTA CLARA","Residential","    4070.038480","    3902.539856","    4018.635115","    3986.848898","   15978.062349"
"SANTA CLARA","Total","   16024.855427","   16693.664300","   17088.067120","   16559.533775","   66366.120622"
"SANTA CRUZ","Non-Residential","     851.450693","     827.428097","     778.644579","     679.924579","    3137.447948"
"SANTA CRUZ","Residential","     559.384877","     584.369906","     594.148170","     594.508170","    2332.411123"
"SANTA CRUZ","Total","    1410.835570","    1411.798003","    1372.792750","    1274.432750","    5469.859073"
"SHASTA","Non-Residential","     859.939848","     933.890788","     912.303417","     867.018753","    3573.152806"
"SHASTA","Residential","     757.798424","     769.023971","     763.874731","     759.308545","    3050.005671"
"SHASTA","Total","    1617.738272","    1702.914760","    1676.178148","    1626.327298","    6623.158478"
"SIERRA","Non-Residential","       9.023270","      11.381460","      10.591128","      10.456874","      41.452732"
"SIERRA","Residential","      14.870067","      16.997449","      14.578032","      14.388225","      60.833773"
"SIERRA","Total","      23.893337","      28.378910","      25.169160","      24.845099","     102.286506"
"SISKIYOU","Non-Residential","     274.569571","     292.816657","     270.158041","     265.372097","    1102.916366"
"SISKIYOU","Residential","     239.062960","     243.896574","     245.838523","     242.685440","     971.483497"
"SISKIYOU","Total","     513.632531","     536.713232","     515.996564","     508.057537","    2074.399864"
"SOLANO","Non-Residential","    2045.989329","    2365.859248","    2181.649949","    2182.277949","    8775.776475"
"SOLANO","Residential","    1043.524460","    1013.877144","    1050.538713","    1027.935713","    4135.876030"
"SOLANO","Total","    3089.513789","    3379.736393","    3232.188662","    3210.213662","   12911.652506"
"SONOMA","Non-Residential","    1553.635475","    1670.248432","    1650.217063","    1543.795341","    6417.896311"
"SONOMA","Residential","    1288.255924","    1267.177571","    1320.239740","    1309.107306","    5184.780541"
"SONOMA","Total","    2841.891398","    2937.426004","    2970.456803","    2852.902647","   11602.676852"
"STANISLAUS","Non-Residential","    3124.772858","    3522.265773","    3015.488751","    2908.162727","   12570.690109"
"STANISLAUS","Residential","    1725.696388","    1677.464984","    1711.678059","    1728.285564","    6843.124995"
"STANISLAUS","Total","    4850.469246","    5199.730757","    4727.166811","    4636.448292","   19413.815106"
"SUTTER","Non-Residential","     349.959405","     347.976815","     353.581710","     346.332710","    1397.850640"
"SUTTER","Residential","     273.192945","     274.191021","     282.704335","     278.539335","    1108.627636"
"SUTTER","Total","     623.152349","     622.167837","     636.286045","     624.872045","    2506.478276"
"TEHAMA","Non-Residential","     246.719274","     280.558716","     278.964552","     260.939552","    1067.182094"
"TEHAMA","Residential","     225.300091","     230.716962","     238.471979","     239.346979","     933.836011"
"TEHAMA","Total","     472.019365","     511.275678","     517.436531","     500.286531","    2001.018105"
"TRINITY","Non-Residential","      80.263641","      37.072922","      37.573068","      37.581068","     192.490699"
"TRINITY","Residential","      57.845638","      63.620231","      64.353123","      64.848123","     250.667115"
"TRINITY","Total","     138.109279","     100.693153","     101.926192","     102.429192","     443.157816"
"TULARE","Non-Residential","    2435.480371","    2598.617135","    2717.919136","    2694.871333","   10446.887975"
"TULARE","Residential","    1197.657985","    1115.572889","    1161.914125","    1184.674684","    4659.819683"
"TULARE","Total","    3633.138356","    3714.190025","    3879.833262","    3879.546017","   15106.707660"
"TUOLUMNE","Non-Residential","     607.018548","     214.609465","     208.028207","     208.530159","    1238.186379"
"TUOLUMNE","Residential","     217.061903","     223.131829","     228.642608","     225.370387","     894.206727"
"TUOLUMNE","Total","     824.080451","     437.741295","     436.670815","     433.900546","    2132.393107"
"VENTURA","Non-Residential","    3877.860079","    3858.975750","    4040.678769","    3838.246810","   15615.761408"
"VENTURA","Residential","    1775.602427","    1837.175748","    1886.602526","    1847.990862","    7347.371563"
"VENTURA","Total","    5653.462506","    5696.151498","    5927.281296","    5686.237673","   22963.132973"
"YOLO","Non-Residential","    1113.287820","    1173.836613","    1185.224516","    1175.021516","    4647.370465"
"YOLO","Residential","     506.077856","     499.107611","     517.532343","     516.700343","    2039.418153"
"YOLO","Total","    1619.365675","    1672.944224","    1702.756860","    1691.721860","    6686.788619"
"YUBA","Non-Residential","     299.963921","     294.390881","     293.158631","     296.786631","    1184.300064"
"YUBA","Residential","     191.793005","     199.026980","     204.318216","     206.835216","     801.973417"
"YUBA","Total","     491.756926","     493.417861","     497.476847","     503.621847","    1986.273481"
